Tên sản phẩm,Tên cửa hàng,Giá,Thương hiệu,Lượt đánh giá,Điểm đánh giá trung bình,Số lượng đã bán,Category,Currency,Fit,Cluster,Cluster Name
Áo Khoác Lông Vũ Siêu Nhẹ | Có Mũ,UNIQLO,1471000.0,UNIQLO,51.0,4.59,0.0,Áo,VND,2.98,2,Sản phẩm trung bình (ít nổi bật)
Áo Khoác BLOCKTECH | Có Mũ,UNIQLO,1471000.0,UNIQLO,116.0,4.91,0.0,Áo,VND,3.09,2,Sản phẩm trung bình (ít nổi bật)
Seamless Down Áo Khoác | Có Mũ,UNIQLO,2944000.0,UNIQLO,13.0,4.62,0.0,Áo,VND,3.31,2,Sản phẩm trung bình (ít nổi bật)
Áo Khóac Hybrid Down,UNIQLO,2944000.0,UNIQLO,8.0,5.0,0.0,Áo,VND,3.25,2,Sản phẩm trung bình (ít nổi bật)
PUFFTECH Áo Khoác Chần Bông | Có Mũ,UNIQLO,1471000.0,UNIQLO,58.0,4.9,0.0,Áo,VND,3.17,2,Sản phẩm trung bình (ít nổi bật)
Hybrid Down Áo Parka,UNIQLO,1471000.0,UNIQLO,6.0,5.0,0.0,Áo,VND,3.0,2,Sản phẩm trung bình (ít nổi bật)
PUFFTECH Áo Khoác Dáng Sơ Mi,UNIQLO,1962000.0,UNIQLO,0.0,0.0,0.0,Áo,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
FARM Rio Print Relaxed Lightweight Windbreaker,adidas,1300000.0,adidas,43.0,4.8,0.0,Khác,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Cloudfoam Pure 2.0  Shoes,adidas,1400000.0,adidas,594.0,4.4,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Originals Flex Shoes,adidas,1400000.0,adidas,41.0,4.5,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Air Jordan 1 Low SE,Nike,2375000.0,Nike,0.0,0.0,0.0,Khác,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Supernova+ Shoes,adidas,1800000.0,adidas,151.0,4.3,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Nike Air Force 1 LV8 Utility,Nike,1924250.0,Nike,0.0,0.0,0.0,Khác,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
adidas Z.N.E. Sportswear Pants,adidas,1500000.0,adidas,30.0,4.8,0.0,Quần,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Crew Sweatshirt,adidas,1400000.0,adidas,1.0,5.0,0.0,Áo,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Nike Offline Pack,Nike,2324250.0,Nike,5.0,4.8,0.0,Khác,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
X9000L4 Shoes,adidas,2450000.0,adidas,21.0,4.5,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
ZX 2K Boost 2.0 Shoes,adidas,2625000.0,adidas,58.0,4.7,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
X Ghosted.3 Laceless Firm Ground Cleats,adidas,2000000.0,adidas,281.0,4.4,0.0,Khác,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Grand Court SE Shoes,adidas,1300000.0,adidas,165.0,4.8,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Racer TR21 Shoes,adidas,1500000.0,adidas,377.0,4.6,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
