Product ID,Product Name,Price,Currency,Rating,Total Ratings,Fit
E472484-000,Áo Kiểu Vải Rayon Cổ Mở | Tay 3/4 | Kẻ Sọc,588000.0,VND,4.89,18.0,3.11
E469419-000,Áo Kiểu Vải Rayon Cổ Mở | Tay 3/4,588000.0,VND,4.87,82.0,3.17
E477742-000,Áo Kiểu Vải Rayon | Họa Tiết,489000.0,VND,5.0,1.0,3.0
E477604-000,Áo Kiểu Vải Pha Linen Tay Phồng | Họa Tiết,588000.0,VND,,,
E475655-000,Áo Kiểu Vải Pha Linen Tay Phồng,588000.0,VND,,,
E475651-000,Áo Sơ Mi Vải Pha Linen Cổ Mở,588000.0,VND,,,
E472903-001,Áo Kiểu Vải Rayon Cổ Mở | Tay 3/4 | Kẻ Sọc,588000.0,VND,4.69,78.0,3.29
E464721-000,Áo Kiểu Vải Rayon,489000.0,VND,4.86,302.0,3.21
E470193-000,Áo Sơ Mi Vải Dạ | Caro,588000.0,VND,4.92,13.0,3.31
E470192-000,Áo Sơ Mi Vải Dạ | Caro,588000.0,VND,5.0,6.0,3.83
E470191-000,Áo Sơ Mi Vải Dạ | Caro,588000.0,VND,5.0,6.0,2.83
E470190-002,Áo Sơ Mi Vải Dạ | Caro,588000.0,VND,5.0,1.0,3.0
E470190-001,Áo Sơ Mi Vải Dạ | Caro,588000.0,VND,5.0,1.0,3.0
E470189-000,Áo Sơ Mi Vải Dạ | Caro,588000.0,VND,5.0,13.0,3.0
E470188-003,Áo Sơ Mi Vải Dạ | Caro,588000.0,VND,,,
E470188-002,Áo Sơ Mi Vải Dạ | Caro,588000.0,VND,,,
E470188-001,Áo Sơ Mi Vải Dạ | Caro,588000.0,VND,5.0,1.0,3.0
E470187-000,Áo Sơ Mi Vải Dạ | Caro,588000.0,VND,4.9,10.0,3.2
E470186-000,Áo Sơ Mi Vải Dạ | Button Down | Caro,588000.0,VND,5.0,7.0,3.14
E470184-000,Áo Sơ Mi Vải Dạ | Button Down | Caro,588000.0,VND,5.0,5.0,3.2
E470183-000,Áo Sơ Mi Vải Dạ | Button Down | Caro,588000.0,VND,5.0,1.0,3.0
E470182-000,Áo Sơ Mi Vải Dạ,588000.0,VND,5.0,13.0,3.15
E477333-000,Quần Dài Ống Loe Rộng Vải Denim Dáng Rũ,980000.0,VND,,,
E472491-000,Quần Jeans Ống Suông Dáng Rộng,980000.0,VND,4.91,170.0,3.15
E472485-000,Quần Jeans Dáng Rộng,980000.0,VND,4.89,384.0,3.11
E471631-000,Quần Dài Xếp Ly Vải Denim,784000.0,VND,4.93,43.0,3.35
E468848-000,Quần Dài Xếp Ly Vải Denim Dáng Rũ,784000.0,VND,4.9,41.0,3.17
E468841-000,Quần Jeans Ống Suông Dáng Rộng,980000.0,VND,4.84,342.0,3.3
