Tên sản phẩm,Tên cửa hàng,Giá,Thương hiệu,Lượt đánh giá,Điểm đánh giá trung bình,Số lượng đã bán,Category,Currency,Cluster,Cluster Name
AIRism Áo Bra,UNIQLO,391000.0,UNIQLO,302.0,4.92,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Leggings | Vải Denim-like,UNIQLO,146000.0,UNIQLO,138.0,4.89,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Polo Vải Len Dệt 3D,UNIQLO,588000.0,UNIQLO,106.0,4.81,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Adilette Comfort Slides,adidas,600000.0,adidas,84.0,4.8,0.0,Khác,VND,0,Sản phẩm cao cấp (ít phổ biến)
Solid Swim Shorts,adidas,500000.0,adidas,70.0,4.6,0.0,Khác,VND,0,Sản phẩm cao cấp (ít phổ biến)
Essentials Loose Logo Tank Top,adidas,500000.0,adidas,116.0,4.8,0.0,Khác,VND,0,Sản phẩm cao cấp (ít phổ biến)
AEROREADY  Designed to Move Sport Camo-Print Shorts,adidas,600000.0,adidas,157.0,4.8,0.0,Khác,VND,0,Sản phẩm cao cấp (ít phổ biến)
Đầm xòe nhún vai kết hạt trai thời trang a b c,THỜI TRANG TINA,99000.0,OEM,28.0,3.3,67.0,Đầm,VND,0,Sản phẩm cao cấp (ít phổ biến)
Đầm Xoè Nữ Tim Trắng cổ Bèo Cột Nơ Xoè Nhẹ Đuôi Cá Thời Trang,Mây Đầm Thiết Kế,220000.0,OEM,7.0,4.7,24.0,Đầm,VND,0,Sản phẩm cao cấp (ít phổ biến)
"Váy sơ mi nữ dáng dài chất liệu đũi mềm mát, thời trang hè nữ ARCTIC HUNTER AH162",Hai Fashion,299000.0,ARCTIC HUNTER,4.0,4.0,21.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
"váy trễ vai trắng tay bồng dáng dài, đầm trễ vai tiểu thư dự tiệc màu trắng điệu đà",CỬA HÀNG LINH LINH,80000.0,OEM,43.0,4.5,135.0,Váy,VND,0,Sản phẩm cao cấp (ít phổ biến)
"Đầm xòe trắng dự tiệc cổ bẻ đính nút sang trọng, dáng đẹp GR186",Misa Fashion,165000.0,OEM,10.0,4.6,31.0,Đầm,VND,0,Sản phẩm cao cấp (ít phổ biến)
Đầm xòe đỏ kết hoa trắng-MS0605D,KHANH LINH STYLE,190000.0,KHANH LINH STYLE,21.0,4.8,78.0,Đầm,VND,0,Sản phẩm cao cấp (ít phổ biến)
Đầm nữ dự tiệc màu trắng dáng xòe cổ V,Mây Đầm Thiết Kế,300000.0,OEM,14.0,4.5,42.0,Đầm,VND,0,Sản phẩm cao cấp (ít phổ biến)
"váy trễ vai trắng tay bồng dáng dài, đầm trễ vai tiểu thư dự tiệc sang chảnh",SUZYVI,85000.0,OEM,35.0,5.0,51.0,Váy,VND,0,Sản phẩm cao cấp (ít phổ biến)
Đầm Midi Trắng Cổ Vuông Viền Ren Thanh Lịch Nữ Tính Tay Ngắn,Mây Đầm Thiết Kế,320000.0,OEM,4.0,4.8,21.0,Đầm,VND,0,Sản phẩm cao cấp (ít phổ biến)
"váy trễ vai trắng tay bồng dáng dài, đầm trễ vai tiểu thư dự tiệc màu trắng điệu đà",Vanvan,80000.0,OEM,18.0,4.6,40.0,Váy,VND,0,Sản phẩm cao cấp (ít phổ biến)
