Tên sản phẩm,Tên cửa hàng,Giá,Thương hiệu,Lượt đánh giá,Điểm đánh giá trung bình,Số lượng đã bán,Category,Currency
Túi xách nữ thời trang cao cấp,Ananshop688,423000.0,ANANSHOP688,23.0,4.6,45.0,Túi,VND
Balo thời trang Idigo FB2-372,IDIGO,225720.0,IDIGO,4.0,4.0,12.0,Balo/Cặp,VND
Giày nữ thời trang ELLY – EG227,ELLY,574500.0,Elly,1.0,5.0,1.0,Giày,VND
Khăn choàng cổ lụa thời trang 10,MISA Shop,234000.0,OEM,1.0,2.0,6.0,Khăn,VND
"Túi đeo chéo nam thời trang, Túi đeo ngực nam da bò cao cấp thời trang công sở",SIÊU THỊ ONLINE 360,241000.0,BISAGO,3.0,4.7,15.0,Túi,VND
Mũ len nón len nữ thời trang Hàn Quốc dn19111314,DONA Thời Trang,174000.0,OEM,5.0,3.8,17.0,Nón/Mũ,VND
Mũ vành thời trang NÓN SƠN MH021-TR1,Thời Trang Nón Sơn Official,568000.0,Nón Sơn,1.0,5.0,2.0,Nón/Mũ,VND
Áo kiểu nữ thời trang cổ trụ tay phồng xinh đẹp,THỜI TRANG TINA,165000.0,OEM,6.0,4.2,15.0,Áo,VND
nón mũ nồi bere nữ thời trang Hàn Quốc dn1911101,DONA Thời Trang,154000.0,OEM,3.0,5.0,10.0,Nón/Mũ,VND
Dán Hình Sáng Tạo Trang Phục Búp Bê - Thời Trang Xưa,Nhà sách Fahasa,55000.0,OEM,1.0,5.0,18.0,Khác,VND
Khẩu Trang Vải Kháng Khuẩn Thời Trang Miley Lingerie 2 lớp,Miley Lingerie,10000.0,Miley Lingerie,14.0,4.5,211.0,Khác,VND
"Áo khoác chống nắng nữ cao cấp - thời trang, thoáng mát",THỜI TRANG WINFA,119000.0,WINFA,1.0,5.0,7.0,Khác,VND
"nón beret nữ, mũ beret nữ thời trang mới dn19110704",DONA Thời Trang,138000.0,OEM,11.0,4.6,42.0,Nón/Mũ,VND
Mũ len nón len nữ thời trang Hàn Quốc dona21120601,DONA Thời Trang,114000.0,OEM,2.0,4.5,6.0,Nón/Mũ,VND
Chân váy xếp ly 3 khuy thời trang Banamo Fashion 5333,Thời trang Banamo,110000.0,OEM,9.0,4.3,11.0,Váy,VND
Khăn choàng nữ len lông thời trang thanh lịch dona21101911,DONA Thời Trang,99000.0,OEM,1.0,5.0,2.0,Khăn,VND
MŨ  NÓN RỘNG VÀNH THỜI TRANG MỚI - DN19VN0737,DONA Thời Trang,99000.0,OEM,2.0,4.0,5.0,Nón/Mũ,VND
Khăn lụa trang trí túi xách thời trang Yuumy YK1,LATA OFFICIAL,9000.0,YUUMY,2.0,5.0,50.0,Túi,VND
Áo Khoác Jean Nữ Tay Phối Nỉ Nón Trùm Thời Trang,THỜI TRANG TINA,185000.0,OEM,19.0,4.3,64.0,Áo,VND
Áo Khoác Jean Nữ Dài Tay Đính Viền Màu Thời Trang,THỜI TRANG TINA,255000.0,OEM,8.0,4.3,18.0,Áo,VND
Móc khóa thời trang YUUMY YMK7,LATA OFFICIAL,19000.0,YUUMY,10.0,5.0,41.0,Khác,VND
Túi xách nữ thời trang cao cấp,Ananshop688,327000.0,ANANSHOP688,16.0,4.5,53.0,Túi,VND
Cặp công sở thời trang Cayuumy09,YUUMY OFFICIAL,219000.0,YUUMY,3.0,4.3,8.0,Balo/Cặp,VND
Hộp đựng đồng hồ da Thời trang,shopthoitranganhnguyen,75000.0,OEM,11.0,4.5,37.0,Đồng Hồ,VND
Winx Club - Thời Trang Phép Thuật 2,Nhà sách Fahasa,53600.0,OEM,1.0,5.0,2.0,Khác,VND
Giày nữ thời trang  ELLY – EG220,ELLY,474500.0,Elly,1.0,5.0,1.0,Giày,VND
Dây Lưng Nam Thời Trang Phong Cách,HT Sports Official,39000.0,HT Sports,1.0,5.0,2.0,Khác,VND
Dây chuyền chuỗi đá Opal thời trang,Bé Heo,138000.0,OEM,1.0,5.0,3.0,Phụ kiện,VND
Khăn choàng cổ lụa thời trang 02,MISA Shop,210000.0,Micoem,1.0,4.0,1.0,Khăn,VND
Áo len cadigan thời trang V0023,Moon Fashion,179000.0,TAKIHA,3.0,5.0,16.0,Áo,VND
Jum tay dài thời trang dạ hội,Xưởng Quần Áo Đẹp,194000.0,VONESA,1.0,5.0,8.0,Khác,VND
Túi xách nữ thời trang cao cấp,Ananshop688,441000.0,ANANSHOP688,13.0,4.7,25.0,Túi,VND
Cặp công sở thời trang CAYUUMY07,LATA OFFICIAL,235000.0,YUUMY,18.0,4.5,34.0,Balo/Cặp,VND
Balo laptop thời trang đa năng Ozuko,Boss Baby Shop,1000000.0,OZUKO,1.0,5.0,3.0,Balo/Cặp,VND
Đầm cổ tàu xẻ tà thời trang,Xưởng Quần Áo Đẹp,269000.0,VONESA,1.0,5.0,1.0,Đầm,VND
Sandal nữ đế xuồng thời trang 21814,ĐỒ DA THÀNH LONG TLG,145000.0,ĐỒ DA THÀNH LONG TLG,1.0,5.0,1.0,Giày,VND
Túi đeo chéo thời trang bằng vải,Anna Trần Shop,54000.0,Anna Tran,1.0,5.0,2.0,Túi,VND
Khăn choàng cổ lụa thời trang 34,MISA Shop,234000.0,OEM,1.0,1.0,0.0,Khăn,VND
Ba Lô Thời Trang UNISEX HARAS HRTK0233,HARASMALL,170000.0,HARAS,38.0,4.5,207.0,Balo/Cặp,VND
Móc khóa thời trang LATA MK6,LATA OFFICIAL,89000.0,Lata,15.0,5.0,76.0,Khác,VND
Balo Mini Thời Trang FALDO Luxury Bee,FALDO,97000.0,FALDO,19.0,4.3,123.0,Balo/Cặp,VND
Bộ Balo Thời Trang HARAS HR133083,HARASMALL,200000.0,HARAS,26.0,4.7,55.0,Balo/Cặp,VND
Quần bơi nam thời trang - Q002,MONNO Fashion,230000.0,OEM,2.0,5.0,2.0,Quần,VND
Sandal Bitis nam thời trang (38-44),ShopDucThang,388000.0,Biti's,2.0,5.0,5.0,Giày,VND
Ba Lô Thời Trang Hàn Quốc HR2038,HARASMALL,270000.0,HARAS,2.0,4.5,28.0,Balo/Cặp,VND
Quần Sọt Lính Túi Hộp Thời Trang,PONIVA,188000.0,OEM,1.0,4.0,11.0,Quần,VND
Thiết Kế Thời Trang Cho Búp Bê,Nhà sách Fahasa,66400.0,OEM,6.0,5.0,59.0,Khác,VND
