Tên sản phẩm	Tên cửa hàng	Giá	Thương hiệu	Lượt đánh giá	Điểm đánh giá trung bình	Số lượng đã bán	Link
Chân váy nữ Titishop CV110 Xanh	TitiShop	79000	Titishop	0	0.0	0	https://tiki.vn/chan-vay-nu-titishop-cv110-xanh-p70086594.html?spid=70086598
Chân váy bút chì nữ cv02	Haint Boutique Official	250000	Haint Boutique	1	4.0	7	https://tiki.vn/chan-vay-but-chi-nu-cv02-p3647381.html?spid=56401446
Chân váy đũi dài style Hàn Quốc Chân váy dài vintage Quảng Châu Đầm nữ CV04	shop linh linh	89000	OEM	2	3.5	7	https://tiki.vn/chan-vay-dui-dai-style-han-quoc-chan-vay-dai-vintage-quang-chau-dam-nu-cv04-p85006708.html?spid=114586793
Chân váy bút chì Lazer sang trọng	Thời Trang MYMYSHOP	180000	OEM	17	4.2	34	https://tiki.vn/chan-vay-but-chi-lazer-sang-trong-p78951820.html?spid=78951832
CHÂN VÁY 2 LỚP DẬP LY KÈM ÁO TAY DÀI NƠ CỔ ( CÓ LÓT ÁO & VÁY) MÀU Y HÌNH	Hương Nemo Style	215000	VONESA	0	0.0	1	https://tiki.vn/chan-vay-2-lop-dap-ly-kem-ao-tay-dai-no-co-co-lot-ao-vay-mau-y-hinh-p270126939.html?spid=270126941
Chân váy CÔNG CHÚA ren hai lớp	Loan Store	149000	LQ luxury	0	0.0	0	https://tiki.vn/chan-vay-cong-chua-ren-hai-lop-p51056606.html?spid=119439887
CHÂN VÁY CHỮ A SẺ TÀ JENY	THỜI TRANG BOBOSHOP	134000	OEM	2	4.5	4	https://tiki.vn/chan-vay-chu-a-se-ta-jeny-p175413577.html?spid=175413585
Chân Váy Dập Li MS0306V	KHANH LINH STYLE	130000	OEM	11	4.8	34	https://tiki.vn/chan-vay-dap-li-ms0306v-p7301977.html?spid=7394233
Chân váy bút chì ulzzang Haint Boutique	Haint Boutique Official	149000	Haint Boutique	0	0.0	0	https://tiki.vn/chan-vay-but-chi-ulzzang-haint-boutique-p183927202.html?spid=183927203
 Chân váy Bút chì Titishop ACC440 Đen	TitiShop	99000	Titishop	0	0.0	0	https://tiki.vn/chan-vay-but-chi-titishop-acc440-den-p70091281.html?spid=70091283
Chân váy bút chì phối nút đẹp	Thời Trang MYMYSHOP	180000	OEM	13	3.2	63	https://tiki.vn/chan-vay-but-chi-phoi-nut-dep-p27880762.html?spid=27880766
